RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,BlueStance,BlueHeightCms,BlueReachCms,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,Finish,FinishDetails,FinishRound,FinishRoundTime,UfcEvent,,,,,,,,,,,,,,,,
Alexandre Pantoja,Kai Asakura,-250,215,07-12-2024,"Las Vegas, Nevada, USA",USA,Red,TRUE,Flyweight,MALE,Orthodox,172.72,175.26,Orthodox,165.1,170.18,34,31,SUB,Rear Naked Choke,2,2:05,UFC 310,,,,,,,,,,,,,,,,
Shavkat Rakhmonov,Ian Machado Garry,-210,295,07-12-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,Orthodox,190.5,187.96,Orthodox,185.42,195.58,30,27,U-DEC,,5,5:00,UFC 310,,,,,,,,,,,,,,,,
Ciryl Gane,Alexander Volkov,-380,300,07-12-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Heavyweight,MALE,Orthodox,200.66,203.2,Orthodox,193.04,205.74,34,36,S-DEC,,3,5:00,UFC 310,,,,,,,,,,,,,,,,
Bryce Mitchell,Kron Gracie,-950,625,07-12-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,Southpaw,175.26,177.8,Southpaw,177.8,177.8,30,36,KO/TKO,Elbows,3,0:39,UFC 310,,,,,,,,,,,,,,,,
Nate Landwehr,Dooho Choi,-130,110,07-12-2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE,Orthodox,177.8,177.8,Orthodox,175.26,182.88,36,33,KO/TKO,Elbows,3,3:21,UFC 310,,,,,,,,,,,,,,,,
Dominick Reyes,Anthony Smith,-380,300,07-12-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Light Heavyweight,MALE,Orthodox,193.04,193.04,Southpaw,193.04,195.58,34,36,KO/TKO,Punches,2,4:46,UFC 310,,,,,,,,,,,,,,,,
Vicente Luque,Themba Gorimbo,-650,-162,07-12-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,Orthodox,185.42,195.58,Orthodox,180.34,190.5,33,33,SUB,Anaconda Choke,1,0:52,UFC 310,,,,,,,,,,,,,,,,
Movsar Evloev,Aljamain Sterling,-238,195,07-12-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,Orthodox,170.18,180.34,Orthodox,170.18,182.88,30,35,U-DEC,,3,5:00,UFC 310,,,,,,,,,,,,,,,,
Randy Brown,Bryan Battle,150,-180,07-12-2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,Orthodox,185.42,195.58,Orthodox,190.5,198.12,34,30,S-DEC,,3,5:00,UFC 310,,,,,,,,,,,,,,,,
Chris Weidman,Eryk Anders,-112,-108,07-12-2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Catch Weight,MALE,Southpaw,185.42,190.5,Orthodox,187.96,198.12,40,37,KO/TKO,Punches,2,4:51,UFC 310,,,,,,,,,,,,,,,,
