name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth
Aalon Cruz,,8,4,0,182.88,65.77,198.12,Switch,20-09-1989
Aaron Brink,,26,26,0,190.5,92.99,,Orthodox,12-11-1974
Aaron Ely,The Cyborg,5,2,0,172.72,61.23,,,
Aaron Jeffery,,10,3,0,187.96,83.91,185.42,Orthodox,14-11-1992
Aaron Lanfranco,,5,1,0,,70.31,,,
Aaron Miller,Blood Spiller,14,10,0,175.26,65.77,,,
Aaron Phillips,The Dragon,12,5,0,175.26,61.23,180.34,Southpaw,05-08-1989
Aaron Riley,,30,14,1,172.72,70.31,175.26,Southpaw,09-12-1980
Aaron Rosa,,18,6,0,193.04,92.99,195.58,Orthodox,28-05-1983
Aaron Simpson,A-Train,12,5,0,182.88,77.11,185.42,Orthodox,20-07-1974
Aaron Trujillo,,0,1,0,165.1,56.7,,,
Aaron Wetherspoon,Slam,9,5,0,,77.11,,,
Aaron Wilkinson,The Daywalker,11,7,0,177.8,70.31,,Orthodox,31-01-1987
Abdul Azeem Badakhshi,The Afghan Lion,13,3,0,,65.77,,,
Abdul Razak Alhassan,,12,6,0,177.8,83.91,185.42,Orthodox,11-08-1985
Abdul-Kareem Al-Selwady,Pride of Palestine,15,3,0,172.72,70.31,175.26,Orthodox,10-04-1995
Abdul-Kerim Edilov,,17,4,0,187.96,92.99,,Orthodox,25-11-1991
Abel Cullum,The Silent Assassin,20,6,0,170.18,63.05,,Orthodox,21-04-1987
Abel Trujillo,Killa,15,8,0,172.72,70.31,177.8,Orthodox,18-09-1983
Abner Lloveras,Skullman,20,9,1,180.34,70.31,,,
Abongo Humphrey,,7,3,0,180.34,92.99,,Orthodox,
Abram Torres,,4,3,0,177.8,77.11,,,
Abu Azaitar,Captain Morocco,14,4,1,175.26,83.91,193.04,Orthodox,10-03-1986
Abubakar Nurmagomedov,,17,4,1,180.34,77.11,182.88,Orthodox,13-11-1989
Abus Magomedov,,25,6,1,187.96,83.91,198.12,Orthodox,02-09-1990
Acacio Dos Santos,Pequeno,14,5,0,193.04,92.99,200.66,Orthodox,29-09-1991
Achilles Estremadura,,7,1,0,177.8,70.31,172.72,Orthodox,11-03-1992
Achmed Labasanov,,7,4,0,190.5,97.52,,Orthodox,24-04-1978
